User,Date,Text,Reply,Repost,Like,View
@fajat_purno25,2024-10-01-03:20:10,Wakil Ketua MPR mengucapkan terima kasih kepada Presiden Jokowi atas satu dekade kepemimpinan yang telah membawa banyak kemajuan bagi Indonesia. #10TahunJokowiMembangun,0,0,0,23
@toby_saputra56,2024-10-01-03:18:48,"Terima kasih, Pak Jokowi, karena telah memperkuat hubungan diplomatik Indonesia di dunia internasional. #10TahunJokowiMembangun",0,0,0,18
@putri_mhrani5,2024-10-01-03:18:11,"Jokowi, pemimpin yang selalu hadir untuk rakyat. Terima kasih atas pengabdianmu. #10TahunJokowiMembangun",0,0,0,18
@lutfi_hsn,2024-10-01-03:13:48,"Terima kasih, Pak Jokowi, sudah memajukan ekonomi kreatif di Indonesia. #10TahunJokowiMembangun",0,0,0,13
@irwan_danangg,2024-10-01-03:11:04,"Sepuluh tahun, Indonesia semakin maju dengan infrastruktur modern. Terima kasih Jokowi! #10TahunJokowiMembangun",0,0,0,16
@irfan_rena21,2024-10-01-03:03:19,"Berkat kepemimpinan Presiden Jokowi, Indonesia telah mencapai banyak prestasi, terima kasih. #10TahunJokowiMembangun",0,0,0,21
@caraka_hdynto,2024-10-01-03:00:43,"Terima kasih, Pak Jokowi, lo udah penuhi kebutuhan nutrisi atlet! #10TahunJokowiMembangun",0,0,0,11
@mawar_yani11,2024-10-01-02:59:59,"Terima kasih, Pak Jokowi, lo udah penuhi kebutuhan fasilitas indoor! #10TahunJokowiMem",0,0,0,12
@donny_prmn0,2024-10-01-02:59:52,Warga Bogor merasakan dampak nyata dari 10 tahun kepemimpinan Jokowi. Terima kasih! #10TahunJokowiMembangun,0,0,0,33
@janet_lstari2,2024-10-01-02:57:52,"Terima kasih, Pak Jokowi, lo udah dukung pemberdayaan anak muda di Aceh. #10TahunJokowiMembangun",0,0,0,19
@basima_shali55,2024-10-01-02:56:02,"Terima kasih, Pak Jokowi, lo udah bawa pendidikan karakter ke sekolah-sekolah di Aceh. #10TahunJokowiMembangun",0,0,0,17
@hanafi_prakoso,2024-10-01-02:55:09,"Jokowi, terima kasih untuk 10 tahun transformasi infrastruktur Indonesia. #10TahunJokowiMembangun",0,0,0,12
@angga_pngstu,2024-10-01-02:53:50,"Terima kasih, Pak Jokowi! Indonesia makin keren di tanganmu! #10TahunJokowiMembangun",0,0,0,10
@aliyah_azkiya,2024-10-01-02:53:10,"Pak Jokowi dah bukak banyak peluang dengan pembangunan yang ko buat, terima kasih. #10TahunJokowiMembangun",0,0,0,9
@dandi_malik22,2024-10-01-02:50:18,"Jokowi, terima kasih telah menjadikan pembangunan infrastruktur sebagai prioritas utama. #10TahunJokowiMembangun",0,0,0,8
