Text,Index,Date,User,Len
terima kasih pak Jokowi ,"Index([1200, 10688], dtype='int64')",['2024-10-20 09:56:46' '2024-09-08 22:48:25'],['@fandimatt' '@Anwar6993312370'],2
terima kasih pak  ,"Index([1257, 13713], dtype='int64')",['2024-10-20 07:19:02' '2024-06-02 20:38:59'],['@caaacing__' '@BudayaJoejoer'],2
Terima kasih Pak.,"Index([1389, 14668], dtype='int64')",['2024-10-19 23:20:04' '2024-04-19 16:59:15'],['@yogayulian' '@Novi23130981'],2
Terima kasih Pak,"Index([1461, 15315], dtype='int64')",['2024-10-19 20:10:09' '2024-03-21 06:49:21'],['@Steve51904367' '@CetakBalikpapan'],2
terima kasih pak,"Index([1477, 10224], dtype='int64')",['2024-10-19 19:17:09' '2024-09-16 10:44:40'],['@evanseptiano' '@Boyzneboyzone'],2
Terima Kasih Presiden Jokowi Dodo atas Perhatian dan Komitmennya Dalam Pembangunan Di Provinsi Aceh#TerimaKasihPakJokowi #PresidenJokowi #Jokowi  #JagaIndonesia #Indonesia2045,"Index([1618, 9234], dtype='int64')",['2024-10-19 13:35:34' '2024-09-27 16:48:31'],['@Insight159248' '@RachelAmber55'],2
Terima kasih Bapak Presiden,"Index([1749, 13740], dtype='int64')",['2024-10-19 05:26:03' '2024-06-01 06:30:40'],['@Steve51904367' '@Azwanbappeda'],2
TERIMA KASIH BAPAK JOKOWI,"Index([1925, 9315], dtype='int64')",['2024-10-18 13:14:53' '2024-09-26 10:16:59'],['@HouseRaide7177' '@KAKASABRINA2'],2
TERIMA KASIH PAK JOKOWI,"Index([2093, 9876], dtype='int64')",['2024-10-17 15:50:06' '2024-09-19 19:16:18'],['@bh4tz' '@Scofro985126'],2
Terima Kasih Pak Jokowi,"Index([2169, 9170], dtype='int64')",['2024-10-17 12:00:37' '2024-09-28 15:10:30'],['@adisaddam_' '@purnawati_vanya'],2
"Terima kasih, Presiden Jokowi, atas 10 tahun pengabdian dan pembangunan yang tak kenal lelah.","Index([2183, 9828], dtype='int64')",['2024-10-17 11:07:18' '2024-09-20 11:31:34'],['@pengusahacanti1' '@questionbreak_'],2
terima kasih pak Jokowi...,"Index([2292, 10770], dtype='int64')",['2024-10-16 23:31:34' '2024-09-07 07:02:15'],['@Wwn0303' '@Wwn0303'],2
Terima kasih Jokowi.,"Index([2296, 9621], dtype='int64')",['2024-10-16 23:01:44' '2024-09-21 19:49:13'],['@JohnKikuk' '@radensetyak1'],2
Terima kasih pak Jokowi...,"Index([2355, 14643], dtype='int64')",['2024-10-16 19:24:33' '2024-04-21 01:59:45'],['@Beranda86118752' '@YadiAfriyadi6'],2
"Terima kasih, Pak Jokowi.","Index([2400, 18093], dtype='int64')",['2024-10-16 17:10:44' '2024-01-16 02:06:00'],['@acil_muhyidin' '@qaypal'],2
Terima kasih pak jokowi...,"Index([2502, 9629], dtype='int64')",['2024-10-15 22:36:16' '2024-09-21 18:11:09'],['@kentoes_kus' '@sidi_multazam'],2
Terima kasih Pak Presiden.,"Index([2531, 15863], dtype='int64')",['2024-10-15 19:55:32' '2024-02-25 13:54:02'],['@izharishaksa' '@AnnoOrwels'],2
Terima kasih bpk president Jokowi karena telah menjalankan roda ekonomi RI dengan sepenuh hati jiwa dan raga,"Index([2763, 9332], dtype='int64')",['2024-10-15 13:12:29' '2024-09-25 22:19:29'],['@samiah_pudjisti' '@bambang_shrt'],2
"Ucapan terima kasih dr Adrianus Sewanso (Sekretaris Dewan Adat Kabupaten Sarmi) kepada Presiden Jokowi yang telah membawa perubahan di Papua, khsususnya dari segi pembangunan selama 1 Dekade masa kepemimpinan #Jokowihebat #papua #indonesia #prabowo #presiden","Index([2851, 9549], dtype='int64')",['2024-10-15 07:25:58' '2024-09-22 14:13:14'],['@DintarSyahdu' '@DintarSyahdu'],2
Terima kasih pak  ,"Index([2970, 13883], dtype='int64')",['2024-10-14 17:27:37' '2024-05-27 19:04:26'],['@AjusAlvaro' '@legawalif'],2
Terima kasih pakde jokowi,"Index([3876, 12260], dtype='int64')",['2024-10-10 23:18:14' '2024-08-08 11:55:45'],['@warikin49756' '@andhiguySmith'],2
Terima kasih banyak pak ,"Index([4234, 9335], dtype='int64')",['2024-10-09 16:42:22' '2024-09-25 21:01:25'],['@Anjuarii' '@OverTake112'],2
"10 tahun kepemimpinan Jokowi membawa perubahan besar bagi Indonesia. Infrastruktur maju, ekonomi semakin kokoh, dan kesejahteraan rakyat terus meningkat. Terima kasih Pak Jokowi atas dedikasinya untuk negeri #10TahunJokowi #KemajuanIndonesia #TerusBerkarya","Index([4733, 9153], dtype='int64')",['2024-10-08 12:28:59' '2024-09-28 17:37:14'],['@NindyaPurnama' '@AdellioR'],2
Terima kasih Pak Jokowi..,"Index([4754, 9397], dtype='int64')",['2024-10-08 10:28:50' '2024-09-25 11:07:52'],['@medan_fakta' '@medan_fakta'],2
Terima kasih pa jokowi,"Index([4759, 13800], dtype='int64')",['2024-10-08 09:38:14' '2024-05-29 19:41:06'],['@Yohanisuci' '@bangastrajingga'],2
Terima kasih Pak Presiden Jokowi,"Index([4789, 10389], dtype='int64')",['2024-10-08 07:43:34' '2024-09-14 11:18:10'],['@auliawardhani88' '@pevita992'],2
Terima Kasih pak Jokowi,"Index([4799, 10252], dtype='int64')",['2024-10-08 05:28:24' '2024-09-15 21:15:35'],['@MazzzToto21' '@AzisDadun_'],2
Terima kasih presiden  ,"Index([4802, 16497], dtype='int64')",['2024-10-08 04:30:20' '2024-02-14 16:20:21'],['@DonTimoteo1902' '@DonTimoteo1902'],2
"Indonesia jadi lebih baik di bawah kepemimpinan Pak Jokowi, terima kasih! #JokowiBaktiUntukNegeri","Index([5253, 8471], dtype='int64')",['2024-10-07 02:28:23' '2024-09-30 04:12:52'],['@daff_thor11' '@gara_prasasta'],2
"Bangga banget sama Pak Jokowi, terima kasih buat segalanya! #JokowiBaktiUntukNegeri","Index([5276, 8581], dtype='int64')",['2024-10-06 23:18:49' '2024-09-30 01:22:43'],['@teungku_shaka' '@purnama_dmrr'],2
"Jokowi bikin kita bangga jadi warga Indonesia, terima kasih atas semua yang sudah dibangun. #JokowiBaktiUntukNegeri","Index([5411, 8473], dtype='int64')",['2024-10-06 22:03:52' '2024-09-30 04:04:08'],['@paramita_nurai6' '@eko_lazuard1'],2
"Jokowi bikin perubahan besar di Indonesia, terima kasih banget! #JokowiBaktiUntukNegeri","Index([5431, 8737], dtype='int64')",['2024-10-06 21:58:51' '2024-09-30 00:50:29'],['@dika_gopal221' '@salwa_usamah2'],2
"Jokowi presiden yang selalu mikir buat rakyat, terima kasih atas semuanya. #JokowiBaktiUntukNegeri","Index([5432, 8474], dtype='int64')",['2024-10-06 21:58:45' '2024-09-30 03:56:32'],['@darum_farium4' '@maryanto_huta'],2
"Terima kasih Pak Jokowi, infrastruktur makin mantap! #JokowiBaktiUntukNegeri","Index([5445, 8517], dtype='int64')",['2024-10-06 21:56:19' '2024-09-30 02:05:40'],['@canan_elmass' '@mahila_kmh11'],2
"Pak Jokowi, terima kasih sudah membawa Indonesia ke arah yang lebih baik. #JokowiBaktiUntukNegeri","Index([5471, 8518], dtype='int64')",['2024-10-06 21:51:00' '2024-09-30 02:05:14'],['@cemeti_prakus77' '@zulfa_wulndri'],2
"Terima kasih Pak Jokowi, Indonesia makin keren! #JokowiBaktiUntukNegeri","Index([5549, 8907], dtype='int64')",['2024-10-06 21:24:46' '2024-09-30 00:33:54'],['@fariska_hika' '@adit_sett11'],2
"Terima kasih Pak Jokowi, negeri ini makin maju pesat. #JokowiBaktiUntukNegeri","Index([5551, 8468], dtype='int64')",['2024-10-06 21:24:15' '2024-09-30 04:28:12'],['@fayre_gunah' '@maryanto_huta'],2
"Kepemimpinan Anda telah membawa angin segar bagi pembangunan Indonesia. Terima kasih, Pak Jokowi. #JokowiBaktiUntukNegeri","Index([5566, 8492], dtype='int64')",['2024-10-06 21:15:24' '2024-09-30 02:41:41'],['@arumi_khanza76' '@siti_resti122'],2
"Jokowi vibes-nya bikin bangga, terima kasih Pak! #JokowiBaktiUntukNegeri","Index([5619, 8511], dtype='int64')",['2024-10-06 20:56:03' '2024-09-30 02:13:11'],['@albert_insan10' '@inem_synh66'],2
"Jokowi, lo bikin semua jadi lebih mudah, terima kasih! #JokowiBaktiUntukNegeri","Index([5643, 8622], dtype='int64')",['2024-10-06 20:48:08' '2024-09-30 01:12:37'],['@irwan_suryana8' '@aska_andika4'],2
"Jokowi terus membangun negeri, terima kasih buat semua usahanya. #JokowiBaktiUntukNegeri","Index([5668, 8523], dtype='int64')",['2024-10-06 20:45:37' '2024-09-30 01:50:00'],['@SudinaRahmad' '@viktor_narpa53'],2
"Terima Kasih atas 10 Tahun Kepemimpinan Jokowi Terima kasih atas segenap upaya yang dikerahkan oleh Pak Jokowi selama menjadi prsidem selama 10 tahun, berpasangan untuk 5 tahun terakhir dng K.H Ma'ruf Amin.","Index([5780, 9682], dtype='int64')",['2024-10-06 14:09:36' '2024-09-21 13:02:43'],['@rst4linda' '@AlmiraZaki41'],2
"Terima Kasih atas 10 thn Kepemimpinan Jokowi Terima kasih atas segenap upaya yang dikerahkan oleh Pak Jokowi selama mnjdi Presiden selama 10 thn, berpasangan ntuk 5 thn terakhir dg n K.H Ma'ruf Amin.","Index([5782, 9679], dtype='int64')",['2024-10-06 14:09:27' '2024-09-21 13:03:22'],['@megaliatiara' '@afraraineyy'],2
"Terima Kasih atas 10 Tahun Kepemimpinan Jokowi Terima kasih atas segenap upaya yang dikerahkan oleh Pak Jokowi selama mnjadi peresiden selama 10 tahun, berpasangan unt 5 tahun terakhir w/ K.H Ma'ruf Amin.","Index([5783, 9683], dtype='int64')",['2024-10-06 14:09:20' '2024-09-21 13:02:27'],['@roswtsalinda' '@aliamarshandaa'],2
"Terima Kasih atas 10 thn Kepemimpinan Jokowi Terima kasih atas segenap upaya yang dikerahkan oleh Pak Jokowi selama mjd prsidem selama 10 thn, berpasangan utk 5 thn terakhir dgn K.H Ma'ruf Amin.","Index([5784, 9680], dtype='int64')",['2024-10-06 14:09:11' '2024-09-21 13:03:05'],['@dlatiefa40' '@AdityaaDharma4'],2
"Terima Kasih atas 10 Tahun Kepemimpinan Jokowi Terima kasih atas segenap upaya yang dikerahkan oleh Pak Jokowi selama menjadi Presiden selama 10 tahun, berpasangan untuk 5 tahun terakhir dengan K.H Ma'ruf Amin.","Index([5785, 9684], dtype='int64')",['2024-10-06 14:09:03' '2024-09-21 13:01:19'],['@widiasttie' '@zayanacha'],2
Terima kasih bapak  ,"Index([6036, 15304], dtype='int64')",['2024-10-05 14:16:20' '2024-03-21 09:01:13'],['@Werkudara101' '@AderienAhmad'],2
Terima kasih fufufafa,"Index([6778, 10307], dtype='int64')",['2024-10-04 05:35:46' '2024-09-15 10:47:43'],['@andyasmara49378' '@MaghfurBastaman'],2
Terima kasih Pak Jokowi..!!,"Index([6910, 9838], dtype='int64')",['2024-10-03 10:38:51' '2024-09-20 09:09:09'],['@medan_fakta' '@medan_fakta'],2
terima kasih ,"Index([6959, 12569], dtype='int64')",['2024-10-02 02:01:49' '2024-07-26 07:08:43'],['@Labiebjeh' '@sayyidsyarifff'],2
Terima kasih Jokowi! Warga Bekasi merasa terwakili dalam setiap kebijakan yang diambil. #10TahunJokowiMembangun,"Index([6977, 7786], dtype='int64')",['2024-10-01 19:13:32' '2024-10-01 01:24:11'],['@kani_hasanah' '@kani_hasanah'],2
Warga Pulau Jawa bangga memiliki pemimpin yang peduli! Terima kasih Jokowi atas 10 tahun ini. #10TahunJokowiMembangun,"Index([7051, 7809], dtype='int64')",['2024-10-01 10:36:27' '2024-10-01 01:11:24'],['@izzati_golfa25' '@izzati_golfa25'],2
"Jokowi, terima kasih! Warga Bekasi berkomitmen untuk terus mendukung pembangunan negeri. #10TahunJokowiMembangun","Index([7054, 7679], dtype='int64')",['2024-10-01 10:34:26' '2024-10-01 01:37:53'],['@sari_utami12' '@sari_utami12'],2
Terima kasih Jokowi! Warga Sumatera bangga akan pencapaian selama 10 tahun terakhir. #10TahunJokowiMembangun,"Index([7059, 7793], dtype='int64')",['2024-10-01 10:29:27' '2024-10-01 01:20:46'],['@cindy_hryh20' '@cindy_hryh20'],2
"Jokowi, terima kasih atas 10 tahun yang luar biasa! Warga Bekasi siap bersinergi lebih. #10TahunJokowiMembangun","Index([7098, 7300], dtype='int64')",['2024-10-01 10:00:42' '2024-10-01 04:47:14'],['@teguh_salim44' '@teguh_salim44'],2
Terima kasih Jokowi! Warga Bekasi siap melangkah bersama dalam pembangunan ke depan. #10TahunJokowiMembangun,"Index([7128, 7299], dtype='int64')",['2024-10-01 09:48:23' '2024-10-01 04:50:55'],['@somad_abrahm' '@somad_abrahm'],2
Terima kasih Pak Jokowi...,"Index([7183, 9260], dtype='int64')",['2024-10-01 09:25:19' '2024-09-27 10:26:43'],['@medan_fakta' '@medan_fakta'],2
Terima kasih Jokowi! Warga Bogor siap bersinergi dalam setiap program pembangunan. #10TahunJokowiMembangun,"Index([7186, 8084], dtype='int64')",['2024-10-01 09:23:14' '2024-09-30 23:46:52'],['@aini_mahda11' '@aini_mahda11'],2
Terima kasih Pak Jokowi #KinerjaJokowi,"Index([7832, 12583], dtype='int64')",['2024-10-01 00:54:44' '2024-07-25 11:26:30'],['@pardeded90' '@Lalatianaaa'],2
