User,Date,post_text,quotedPost_text,Reply_count,Repost_count,Like_count,View_count
@rei1_f,2025-08-11-06:26:30,"Cui, realistis aja. Sudah berapa temen kita yang beliau ini sakiti? Beberapa temen beliau itu kasusnya temen kita juga.
Dengan mengamati aja, gw jadi skip mau berteman ama beliau ini",,1,0,0,65
@rei1_f,2025-08-11-06:13:02,"Ghosting weh, atau ikuti cara si Abang pemain game kuda",,1,0,0,68
@rei1_f,2025-08-11-06:09:24,"terkait dengan approach beliau yang friendly gt, gw jadi agak kasihan sama orang yang terkena false affection.
""tipu daya wanita sgt lah dahsyat""
Beliau ini kan suka banget trauma dump ke orang random (terutama cowo) yang baru dia kenal + pasti bakal ngechat trus di minggu2 awal",,0,0,0,71
@rei1_f,2025-08-11-06:06:28,"Beliau itu hanya butuh pendukung yang ngefeed ego dan narsistiknya saja. Bukan sebuah teman yang berani mau ngoreksi dan kasih tau kecacatan beliau.

Kan lucu kalau lu lihat bagaimana yang approach dan interaksinya berubah itu temen lamanya beliau, bukan beliaunya sendiri?",,1,0,0,63
@rei1_f,2025-08-11-06:04:01,"Giliran lu, gw, dll (yang udah leave grup) kasih sugesti dan saran. Apa yang dia lakukan? ya, betul. hanya percuma saja. Belum ditambah dengan kekecewaan gw terhadap bagaimana dia ngeresolve isu-isu lain.",,1,0,0,57
@rei1_f,2025-08-11-06:02:15,"Lu pikir aja, mana ada orang percaya takdir itu digenggam oleh generative chatbot terkait dengan kartu tarrot. Trus overthink selama 2 minggu di grup terkait hal tsb, ngomong gitu-itu terus dan butuh perhatian sambil ngeklaim liat hal supernatural sehari-hari.",,2,0,0,90
@rei1_f,2025-08-11-06:00:43,"Titik letak gw jenuh dan gak mau lagi karena beliau ini susah sekali untuk disadarkan dan punya pikiran semacam anak SMA. Umur sudah kepala 2 tapi dikit-dikit ngeluh, nyalahin diri sendiri, nyalahin keadaan, suka pamer, denger sugesti hanya masuk telinga kiri keluar kanan",,1,0,0,81
@rei1_f,2025-08-11-05:58:30,"Yah bro, masalahnya beliau ini jarang ngerespect opini atau ngehargai boundary orang. Gw gak permasalahkan mau lawan jenis atau tidak, curhat dan sebagaimananya atau konversasi random. Lebih baik dengeri permasalahan orang daripada denger dia bundir atau gmn gt kan.",,1,0,0,88
@rei1_f,2025-08-11-02:18:12,Untung gw udah cut connection ama beliau 🤣,,1,0,0,93
@rei1_f,2025-08-11-02:17:48,Biasanya sih kalau gini mau pdkt ama lu fli,,1,0,0,82
@rei1_f,2025-08-07-18:22:09,Can i just have my men dressed in VKBO EMR 💔?,,0,0,0,178
@rei1_f,2025-08-01-15:57:21,Do mine ^^,,1,0,0,52
@rei1_f,2025-07-27-21:45:49,"""%d/%m/%Y"" is better than ""%m/%d/%Y"". x.com/SchmoozeX/stat
… …",,0,0,0,82
@rei1_f,2025-07-27-18:36:01,"Dw unc, it'll lead to even worse",,0,0,0,182
@rei1_f,2025-07-27-16:38:52,Tak kembali pulang karena disibukan dengan agenda menjadi dewan komisaris BUMN,,0,0,0,77
@rei1_f,2025-07-27-16:37:29,"DM ke si jojo bro, kalau gak salah dulu dia distributornya  🤣",,0,0,0,73
@rei1_f,2025-07-26-16:53:15,"Ini aja nder, biar diajak ngopi² sama rekan kantor setelah jampul. Siapa tau direkomendasiin jadi komisaris.",,2,0,0,123
@rei1_f,2025-07-25-20:56:37,"Cari bahasan yang lu dan dia suka dong bang, ente kan jago 😭",,1,0,0,37
@rei1_f,2025-07-25-20:55:30,Gas sampe dikelola palantir 💔,,1,0,0,49
@rei1_f,2025-07-24-18:13:33,"Dibeli nder, tapi minusnya ntar langsung masuk neraka",,1,0,0,60
@rei1_f,2025-07-24-13:33:43,"Such a bs, my co workers usually start their day with these combinations.",Southeast Asia,1,0,0,127
@rei1_f,2025-07-24-12:17:34,Suicide,,0,0,0,33
@rei1_f,2025-07-24-12:16:41,"They call me 00007
0 alcohol
0 cigarette
0 weed
0 drugs
7 drowning in thoughts",,0,0,2,50
@rei1_f,2025-07-23-19:56:26,Assembled a squad of individuals from various factions to fight off the Monolith. I was the sole survivor upon reaching the Chernobyl NPP.,Share a piece of S.T.A.L.K.E.R lore about yourself,0,0,4,244
@rei1_f,2025-07-23-07:06:08,">femcel
>looks inside
>She's e-dating 2-9 ppl

Real talk. Sounds good on paper, but in reality if you end up with these people. it's somewhat taxing. Please normalize intellectual relationships where you can actually have good conversation from time to time.",,0,0,0,181
@rei1_f,2025-07-23-03:03:20,"Deketin dan tanyain wes,tapi jaga jarak. Kalau lu mundur di awal dan taunya itu hanya foto bersama saudara kan hilang tuh kesempatan lu",,1,0,0,92
@rei1_f,2025-07-16-22:29:21,🤠👍,,0,0,0,41
@rei1_f,2025-07-16-02:15:09,"""I support zionism""",,0,0,0,33
@rei1_f,2025-07-15-16:10:33,Ini bro orangnya,,1,0,0,63
@rei1_f,2025-07-15-01:18:15,"Thank you John Roblox, very cool !",,1,0,2,178
@rei1_f,2025-07-14-21:59:15,"Ask not what your country can do for you; ask what you can do for Barovia. 

I stand with #Barovia#Barovia  #freethehostages#freethehostages  #BringThemHomeNow#BringThemHomeNow 🎗️",tweet like you live in metropolis: x.com/jayjjalen/stat…,0,0,1,247
@rei1_f,2025-07-10-15:39:07,Wishing i was a protected class.,,0,0,0,68
@rei1_f,2025-07-02-17:11:20,"Kebetulan, saya juga tsel.",,0,0,0,73
@rei1_f,2025-06-28-19:03:15,@HaloBCA@HaloBCA ,,5,0,0,63
@rei1_f,2025-06-24-01:26:48,"[1] Iranian missiles launch toward US military bases in Iraq and Qatar
[2] Interception over Qatar's airspace
[3] Panic at a mall in Doha, Qatar. 

Things might've gonna go even more bleak in the upcoming days.",,0,0,1,218
@rei1_f,2025-06-24-01:07:27,Ini Jono!?," Joshua (IG: joshuamsolomon_) / OXFORD / Computer Science

- Honorable Mention - International Mathematical Olympiad 2023 in Japan
- Bronze Medal - International Zhautykov Olympiad (IZhO) in Mathematics 2023
- Third Prize - European Mathematical Cup (EMC) 2023",1,0,0,96
@rei1_f,2025-06-23-04:20:52,"Although appear `democratic`, The US and Indonesia governments seem to love swaying away public narratives with botted accounts.",Talking points have been issued.,0,0,0,237
@rei1_f,2025-06-23-01:16:06,"At your service, my queen.",,0,0,9,705
@rei1_f,2025-06-22-23:21:20,It's 6 million likes actually.,,1,0,54,1569
@rei1_f,2025-06-22-19:40:07,P sharelock.,,0,0,0,19
@rei1_f,2025-06-21-22:18:33,Yuk bisa yuk,,1,0,0,39
@rei1_f,2025-06-21-16:27:41,My stupid ass slacked way too much and forgot the beauty of the real world. There's no way I'm taking another semester.,,0,0,0,43
@rei1_f,2025-06-21-03:01:24,Who hurt you bro? 😞,,0,0,0,168
@rei1_f,2025-06-20-17:16:39,"Ain't an american myself, we might be the opposite spectrum of the same table. But, it seems we truly don't have anything in common, you lack the capability that makes humans human, the sense of decency.",,0,0,1,26
@rei1_f,2025-06-19-14:01:34,An hour ago,,49,197,2262,215031
@rei1_f,2025-06-15-16:34:41,"x.com/i/grok/share/m
… …""Grok was trained with neutral datasets""",,0,0,0,71
@rei1_f,2025-06-12-03:33:01,>,,2,1,82,4216
@rei1_f,2025-06-10-17:40:55,This u?,,0,0,1,71
@rei1_f,2025-06-09-21:38:51,This u?,"Oh shut up, @GretaThunberg - you attention-seeking narcissist. What an insult to the actual hostages in Gaza who really WERE kidnapped. This stupid stunt is all about your ego, and will make zero difference to the plight of innocent Palestinians caught up in this dreadful war. x.com/Osint613/statu…",0,0,0,61
@rei1_f,2025-06-09-16:07:33,>,"kenapa sih yang suka sama gua selalu cowo jelek aneh dan mesummmm????? 

kenapa gaada cowo ganteng soft spoken tinggi 180 cm lebih rajin ibadah dateng depan mata guaaa??",0,0,2,129
@rei1_f,2025-06-09-15:58:09,"""Hostages""",,0,0,10,222
@rei1_f,2025-06-09-14:58:12,>,,0,0,0,62
@rei1_f,2025-06-09-01:30:18,Lebih seru side questnya kak,,1,0,0,67
@rei1_f,2025-06-08-18:37:07,0%,,0,0,0,294
@rei1_f,2025-06-08-17:59:40,This u bro?,"Having 14,000 people commenting on this post telling me how we fucking deserved these missiles, that not enough Ukrainian kids died, that ""You can't bomb a fleet of Russian aircraft and expect nothing in return."" Has destroyed all hope I had left in humanity.

Fuck this platform. x.com/frontlinekit/s…",0,0,4,137
@rei1_f,2025-06-06-12:40:53,"This was my hood, you wouldn't survive a day without being blasted by a sabot round.",,1,0,54,3969
@rei1_f,2025-06-06-01:03:33,"Estimasi selesai jam berapa ya? 
Saya ada keperluan pakai komputer.",,1,0,0,78
@rei1_f,2025-06-02-21:08:28,@grok@grok  put an Israel flag on the background,,0,0,0,128
@rei1_f,2025-05-29-20:42:45,@grok@grok  put an israel flag behind the person and add Lebron James,,1,0,0,4817
@rei1_f,2025-05-28-00:30:39,"Bismillah, proyek menghasilkan cuan.",,0,0,0,61
@rei1_f,2025-05-16-15:17:37,Batak israel,,0,0,1,362
@rei1_f,2025-05-16-11:10:17,"Kalau bentuknya orang, mending disogok bang. Sapa tau dia mau sepakat ngerjain diri dia sendiri 😇🙏",,1,0,0,86
@rei1_f,2025-05-15-21:53:08,Ngerjain skripsi tidak seseru mencari duit 😔☝,,0,0,0,43
@rei1_f,2025-05-14-22:39:01,People could believe and acknowledge what you said if you and your entire government PR had not  repeatedly lied prior. You got short memory loss or smth?,It’s a war crime for a terrorist warlord to hide in a bunker under a hospital. It is not a war crime to target that terrorist warlord. You’re welcome. x.com/MosabAbuToha/s…,0,0,0,60
@rei1_f,2025-05-14-16:39:52,"Kalau gw HRny, mingdep langsung ttd kontrak. Gk usah ada user intv",,1,0,0,63
@rei1_f,2025-05-12-16:19:40,"""Zero evidence Indian rafales were shot down""",There’s ZERO evidence that Pakistan shot down an Indian Air Force Rafale jet.,0,0,0,85
@rei1_f,2025-05-12-15:40:39,Pajeets and their obsessions with rape should be studied.,जी,0,0,1,94
@rei1_f,2025-05-12-11:38:16,Gak usah dijawab bro,,0,0,0,41
@rei1_f,2025-05-11-13:09:23,"Oy vey goys! 

If we see through your lies, we'll call you liars

*but*

If you see through our lies, we'll call you anti semitics.",Well said,0,0,0,56
@rei1_f,2025-05-10-23:53:19,"What about in indonesia. if it had happened, what  would it have meant for the average Indonesians?",,1,0,0,29
@rei1_f,2025-05-10-22:14:48,@grok@grok  has there been a recorded case where a man got arrested by posting an altered image showing the current president of the US kissing the former president?,,1,0,0,59
@rei1_f,2025-05-10-22:11:54,"Nigga, there's no way in hell you could you get arrested by posting a product of generative image model. I.e, demonstrating how badly it can be misused by showing a man kissing another man. 

Ts tuff.",,1,0,0,92
@rei1_f,2025-05-09-19:17:47,Temen aing unpad stat udah wisuda euy 🥲,,1,0,0,259
@rei1_f,2025-05-09-12:08:48,Me when my super duper silly pookie bear reaches me to discuss nepotism and rampant corruption problems in the country (we ain't solving allat) :3,Mahasiswi ITB Ditangkap Usai Buat Meme Prabowo-Jokowi 'Ciuman',0,0,2,119
@rei1_f,2025-05-07-20:58:58,Jakarta daerah mana itu? 😞,,1,0,0,31
@rei1_f,2025-05-06-22:51:34,Comically large GPU (317 mm),,0,0,0,48
@rei1_f,2025-05-05-22:51:57,Bisa,,0,0,0,31
@rei1_f,2025-05-05-15:09:53,"Rill cok, begadang malem tuh pasti ada banyak momen mikirin hidup, uang, kesuksesan, asmara, dsb",,0,0,0,36
@rei1_f,2025-05-05-15:07:46,Day 1 mengganggur di semester skripsi (rakit pc),,0,0,0,64
@rei1_f,2025-05-01-23:42:56,Emados >>> almaz,,1,0,1,78
@rei1_f,2025-05-01-16:49:19,"Nigga, roblox ain't linkedin 😭",,0,0,0,22
@rei1_f,2025-04-30-07:14:43,Chunk chunk chunk sahur,,1,0,0,50
@rei1_f,2025-04-29-17:05:25,"Gajian ✅Direstui kasubdiv ambil proyek kantor sebagai topik skripsi ✅Alhamdulillah, berkah 😇",,0,0,1,72
@rei1_f,2025-04-26-19:42:43,"Antara gak menghargai data sensitif (kebobolan) atau gak meghargai user setelah mendaftar (telemarketer ngejar target  dengan cara spam call ""calon"" nasabah)",,0,0,0,48
@rei1_f,2025-04-26-19:40:03,"Ya, walaupun gw sekarang optimis sih yang nelpon gw itu telemarketer dan notif wa itu cuma untuk promosi setelah telpon hotline customer service. 

Gak ada kah yang namanya SOP bagi seorang telemarketer? Manggil calon customer sampai berkali² dengan notelp yang berbeda²",,1,0,0,42
@rei1_f,2025-04-26-18:44:47,"Bjir, ternyata cuma iklan yang di WA itu 🥲",,1,0,0,114
@rei1_f,2025-04-25-11:42:31,@gork@gork   is this true?,,0,0,0,26
@rei1_f,2025-04-23-00:34:35,"Doxxing jadi hal yang umum
Witch huntpun ada, terutama bila bukan pendukung dari golongan gang sama
Mob justice juga sudah banyak terjadi meskipun verdict di akhir menampilkan casus belli yang tidak jelas dan tidak faktual. 
Wow lah.",,0,0,0,78
@rei1_f,2025-04-23-00:26:45,"Twitter itu hebat,
Platform paling cepat up informasi tapi banyak misinfofmasi
Platform yang menyuarakan free speech tapi ownernya kontroversial
Platform paling open minded tapi 11/12 seperti app kandang monyet.
Platform kritis tapi banyak isu yang diposisikan black and white",,1,0,0,88
@rei1_f,2025-04-22-20:24:17,"Lanjut perpanjang pkwt apa lanjut skripsi? 

Pengen cepet² dapet SKL 😔",,0,0,0,65
@rei1_f,2025-04-20-18:05:41,@grok@grok  is this true?,,2,0,2,5744
@rei1_f,2025-04-18-20:24:51,@gork@gork  is this true?,,0,0,0,203
@rei1_f,2025-04-18-11:30:09,Now do it with the T72B3 :3,,0,0,0,103
@rei1_f,2025-04-17-22:31:59,"x.com/shitpost_2077/
… …",,0,0,2,186
@rei1_f,2025-04-11-22:41:42,Laptop kantor my beloved (akhirnya gak berbasis collab) 🥰,,0,0,0,70
@rei1_f,2025-04-11-07:33:10,Pop mi,,1,0,1,51
